message_id,user_id,timestamp,message,converted_to_purchase
M107,U107,2025-01-17 09:30:00,Looking for camping sleeping bag warm,P052
M108,U108,2025-01-17 09:45:00,My Stanley tumbler fits in cup holder,
M109,U109,2025-01-17 10:00:00,Need massage tool muscle recovery,P041
M110,U110,2025-01-17 10:15:00,This portable charger charges too slowly,
M111,U111,2025-01-17 10:30:00,Looking for business laptop keyboard,P014
M112,U112,2025-01-17 10:45:00,Need suspension training system,P045
M113,U113,2025-01-17 11:00:00,My Bose headphones are comfortable for long flights,
M114,U114,2025-01-17 11:15:00,Looking for camping stove portable,P053
M115,U115,2025-01-17 11:30:00,This fitness tracker heart rate is inaccurate,
M116,U116,2025-01-17 11:45:00,Need rain jacket lightweight packable,P028
M117,U117,2025-01-17 12:00:00,Looking for broadcast microphone,P064
M118,U118,2025-01-17 12:15:00,My Nalgene bottle is durable,
M119,U119,2025-01-17 12:30:00,Need true wireless earbuds ANC,P023
M120,U120,2025-01-17 12:45:00,This work jacket zipper broke immediately,
M121,U121,2025-01-17 13:00:00,Looking for running shoes overpronation,P005
M122,U122,2025-01-17 13:15:00,Need tablet with pen support,P047
M123,U123,2025-01-17 13:30:00,My Arc'teryx shell is technical perfection,
M124,U124,2025-01-17 13:45:00,Looking for smart video doorbell,P078
M125,U125,2025-01-17 14:00:00,This kitchen utensil set feels cheap,
M126,U126,2025-01-17 14:15:00,Need GPS watch for marathon training,P058
M127,U127,2025-01-17 14:30:00,Looking for upright vacuum pet hair,P073
M128,U128,2025-01-17 14:45:00,My Hydro Flask is worth the price,
M129,U129,2025-01-17 15:00:00,Need daily running shoes neutral,P004
M130,U130,2025-01-17 15:15:00,This handheld vacuum is weak,
M131,U131,2025-01-17 15:30:00,Looking for premium yoga mat studio,P007
M132,U132,2025-01-17 15:45:00,Need Windows laptop good display,P013
M133,U133,2025-01-17 16:00:00,My Whoop strap tracks sleep well,
M134,U134,2025-01-17 16:15:00,Looking for folding camp chair,P055
M135,U135,2025-01-17 16:30:00,This thermostat doesn't learn my schedule,
M136,U136,2025-01-17 16:45:00,Need laptop charger 100 watts,P017
M137,U137,2025-01-17 17:00:00,Looking for water bottle insulated,P034
M138,U138,2025-01-17 17:15:00,My Fitbit battery lasts 7 days,
M139,U139,2025-01-17 17:30:00,Need air fryer large capacity,P037
M140,U140,2025-01-17 17:45:00,This robot vacuum is loud,
M141,U141,2025-01-17 18:00:00,Looking for wool socks hiking,
M142,U142,2025-01-17 18:15:00,Need cordless stick vacuum,P071
M143,U143,2025-01-17 18:30:00,My ThinkPad keyboard is amazing,
M144,U144,2025-01-17 18:45:00,Looking for professional studio mixer,P038
M145,U145,2025-01-17 19:00:00,This camping tent poles bent easily,
M146,U146,2025-01-17 19:15:00,Need outdoor gear weekend camping,P051
M147,U147,2025-01-17 19:30:00,Looking for natural rubber yoga mat,P009
M148,U148,2025-01-17 19:45:00,My TRX straps are versatile,
M149,U149,2025-01-17 20:00:00,Need USB microphone podcasting,P061
M150,U150,2025-01-17 20:15:00,This smart doorbell motion detection is spotty,
