message_id,recommended_product_id,was_purchased,click_through
M123,P075,False,False
M123,P079,False,False
M124,P016,False,False
M124,P072,False,True
M124,P024,False,False
M125,P039,False,True
M125,P013,False,False
M125,P019,False,False
M126,P003,False,False
M126,P054,False,True
M126,P043,False,True
M126,P061,False,True
M127,P036,False,False
M127,P003,False,True
M127,P019,False,False
M127,P008,False,False
M128,P016,False,False
M128,P058,False,False
M128,P077,False,False
M129,P063,False,True
M129,P009,False,False
M129,P008,False,False
M130,P019,False,False
M130,P006,False,False
M130,P008,False,False
M130,P011,False,False
M131,P008,False,False
M131,P063,False,False
M131,P057,False,False
M131,P019,False,False
M132,P008,False,False
M132,P008,False,True
M132,P080,False,True
M132,P009,False,False
M133,P048,False,False
M133,P046,False,False
M133,P045,False,False
M133,P008,False,False
M134,P053,False,False
M134,P040,False,False
M134,P008,False,True
M134,P073,False,True
M135,P019,False,False
M135,P008,False,False
M135,P003,False,False
M135,P053,False,False
M136,P063,False,False
M136,P019,False,True
M136,P010,False,False
M137,P014,False,True
M137,P050,False,True
M137,P019,False,False
M137,P064,False,True
M138,P027,False,False
M138,P001,False,False
M138,P064,False,False
M139,P074,False,True
M139,P077,False,False
M139,P076,False,True
M140,P028,False,False
M140,P035,False,True
M140,P061,False,False
M140,P008,False,False
M141,P014,False,False
M141,P034,False,False
M141,P047,False,False
M142,P032,False,True
M142,P008,False,True
M142,P058,False,True
M143,P045,False,False
M143,P067,False,False
M143,P059,False,False
M144,P078,False,False
M144,P008,False,False
M144,P019,False,True
M144,P069,False,False
M145,P077,False,True
M145,P008,False,True
M145,P004,False,False
M146,P019,False,False
M146,P069,False,True
M146,P036,False,True
M147,P019,False,True
M147,P074,False,False
M147,P041,False,True
M147,P014,False,False
M148,P042,False,False
M148,P072,False,True
M148,P078,False,False
M148,P009,False,False
M149,P016,False,True
M149,P019,False,True
M149,P008,False,True
M149,P065,False,True
M150,P003,False,False
M150,P063,False,False
M150,P051,False,False
M150,P070,False,False
