product_id,name,category,price,avg_rating,stock_quantity,description
P030,Uniqlo Puffer Vest,Outerwear,59.99,3.9,156,Affordable insulated vest
P031,Stanley Adventure Quencher,Water Bottles,45.00,4.7,234,Insulated tumbler that keeps drinks cold
P032,Hydro Flask 32oz,Water Bottles,44.95,4.8,178,Vacuum insulated water bottle
P033,Contigo AutoSeal,Water Bottles,19.99,4.3,0,Spill-proof travel mug
P034,YETI Rambler 26oz,Water Bottles,39.99,4.9,89,Durable insulated bottle
P035,Nalgene Wide Mouth,Water Bottles,12.99,4.4,445,Classic BPA-free water bottle
P036,Instant Pot Duo 6Qt,Kitchen,99.99,4.8,67,Multi-function pressure cooker
P037,Ninja Air Fryer,Kitchen,129.99,4.6,45,Large capacity air fryer with multiple functions
P038,KitchenAid Stand Mixer,Kitchen,379.99,4.9,23,Professional stand mixer for baking
P039,Cuisinart Food Processor,Kitchen,149.00,4.5,34,Versatile food processor
P040,OXO Good Grips Set,Kitchen,34.99,3.6,156,Kitchen utensil set
P041,Theragun Prime,Fitness,299.00,4.7,45,Percussive therapy device for muscle recovery
P042,Hyperice Hypervolt,Fitness,199.00,4.6,0,Massage gun for athletes
P043,Resistance Bands Set,Fitness,24.99,4.4,234,Portable resistance bands for home workouts
P044,Bowflex Dumbbells,Fitness,349.00,4.8,12,Adjustable dumbbells 5-52 lbs
P045,TRX Home Suspension,Fitness,169.95,4.7,67,Suspension training system
P046,Kindle Paperwhite,Electronics,139.99,4.8,123,Waterproof e-reader with adjustable light
P047,iPad Air 5th Gen,Tablets,599.00,4.9,34,Powerful tablet with M1 chip
P048,Samsung Galaxy Tab S8,Tablets,699.99,4.6,0,Android tablet with S Pen
P049,iPad 10th Gen,Tablets,449.00,4.7,56,Affordable iPad for everyday use
P050,Remarkable 2,Tablets,399.00,4.5,23,E-ink tablet for note-taking
P051,Camping Tent 4-Person,Camping,199.99,4.6,45,Easy setup family camping tent
P052,Sleeping Bag 20F,Camping,89.99,4.7,67,Warm sleeping bag for cold weather
P053,Camping Stove,Camping,34.99,4.4,0,Portable propane camping stove
P054,Backpacking Backpack 65L,Camping,229.00,4.8,23,Large capacity hiking backpack
P055,Camping Chair,Camping,39.99,3.7,189,Folding camp chair
P056,Fitbit Charge 6,Wearables,159.99,4.5,89,Fitness tracker with heart rate monitor
P057,Apple Watch Series 9,Wearables,399.00,4.9,45,Smartwatch with health tracking
P058,Garmin Forerunner 255,Wearables,349.99,4.8,34,GPS running watch
P059,Oura Ring Gen 3,Wearables,299.00,4.6,0,Sleep and activity tracking ring
P060,Whoop Strap 4.0,Wearables,239.00,4.4,67,Fitness strap for recovery tracking
P061,Blue Yeti Microphone,Audio,129.99,4.7,78,Professional USB microphone
P062,Rode PodMic,Audio,99.00,4.8,45,Dynamic podcasting microphone
P063,Audio-Technica ATH-M50x,Audio,149.00,4.9,0,Studio monitor headphones
P064,Shure SM7B,Audio,399.00,4.9,12,Legendary broadcast microphone
P065,Focusrite Scarlett,Audio,199.99,4.6,56,USB audio interface
P066,Carhartt Work Jacket,Workwear,119.99,4.8,123,Durable work jacket
P067,Timberland Work Boots,Workwear,149.99,4.7,0,Steel toe work boots
P068,Dickies Work Pants,Workwear,34.99,4.5,234,Classic work pants
P069,Dewalt Work Gloves,Workwear,24.99,4.4,156,Heavy-duty work gloves
P070,Milwaukee Tool Belt,Workwear,79.99,4.6,89,Professional tool belt
P071,Dyson V15 Vacuum,Home,649.99,4.8,23,Cordless vacuum with laser detection
P072,Roomba j7+,Home,799.00,4.6,0,Robot vacuum with self-emptying
P073,Shark Navigator,Home,199.99,4.5,67,Upright vacuum with lift-away
P074,Bissell CrossWave,Home,279.99,4.4,34,Vacuum and mop combo
P075,Black+Decker Dustbuster,Home,49.99,3.8,178,Handheld vacuum cleaner
P076,Brita Water Filter,Home,39.99,4.6,234,Water filter pitcher
P077,Nest Thermostat,Home,129.99,4.7,45,Smart thermostat
P078,Ring Doorbell Pro,Home,249.99,4.5,0,Smart video doorbell
P079,Philips Hue Starter Kit,Home,199.99,4.6,56,Smart LED lighting system
P080,Ecobee SmartThermostat,Home,249.00,4.8,34,Smart thermostat with voice control
